term,coefficient,coefficient_ci_lower,coefficient_ci_upper,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,p_value
const,-28.38313895817144,-4434.950220627791,4378.183942711449,4.713672134964487e-13,0.0,inf,0.989927514418272
exposure,-1.1461805940204786,-1.3138832586222808,-0.9784779294186762,0.31784844621925945,0.2687743070958696,0.37588278379585494,6.418190746107202e-41
age,0.06523754803054001,0.06185666806549142,0.0686184279955886,1.0674125560204863,1.0638098558754416,1.0710274570755558,0.0
gender_M,0.19035958717376916,0.10651603263720642,0.2742031417103319,1.2096845064915875,1.1123957609403823,1.3154820043621345,8.589834746751378e-06
race_group_Black,-0.5343911926354354,-0.7559400502913886,-0.31284233497948233,0.5860259584819719,0.4695689887230552,0.7313652141906282,2.272239621282079e-06
race_group_Hispanic,-0.7207653290785933,-1.0224789078173173,-0.41905175033986913,0.48637987282041345,0.3597021655671468,0.6576701597328614,2.8385474901923334e-06
race_group_Other,-0.2879901488843437,-0.5269860573502971,-0.04899424041839026,0.7497689782635814,0.5903816673878592,0.9521866138792219,0.018188547726205775
race_group_White,-0.49957354359528505,-0.6927260969692197,-0.3064209902213504,0.6067893737583339,0.5002105861294329,0.7360766731369383,3.99304107290582e-07
admission_type_DIRECT EMER.,19.50838177700447,-4387.0586913985835,4426.075454952593,296744416.8646085,0.0,inf,0.9930768528273166
admission_type_DIRECT OBSERVATION,16.729404083211517,-4389.837702302872,4423.296510469294,18428410.546755683,0.0,inf,0.9940630385647945
admission_type_ELECTIVE,17.31893655440969,-4389.24818206284,4423.886055171659,33229099.947031673,0.0,inf,0.9938538282908816
admission_type_EU OBSERVATION,16.817687550286568,-4389.7493899593355,4423.384765059909,20129310.613063946,0.0,inf,0.994031708910669
admission_type_EW EMER.,19.4502914483833,-4387.1167788639805,4426.017361760748,279997560.4405651,0.0,inf,0.9930974674412557
admission_type_OBSERVATION ADMIT,18.97611534205082,-4387.590955797115,4425.543186481216,174269819.35425082,0.0,inf,0.9932657393334667
admission_type_SURGICAL SAME DAY ADMISSION,16.880635208966645,-4389.686457734616,4423.44772815255,21437133.980883494,0.0,inf,0.9940093703727456
admission_type_URGENT,20.17698619567635,-4386.3900848084895,4426.744057199842,579100268.4015219,0.0,inf,0.9928395843185956
insurance_Medicare,-0.09444345550930557,-0.2690968858507769,0.08020997483216578,0.9098791818264182,0.7640692245651002,1.0835145545776073,0.28921458274210754
insurance_No charge,0.42221469072908246,-1.5654835386153247,2.4099129200734897,1.5253359650232456,0.2089869354843644,11.13299164275973,0.6771732605292473
insurance_Other,2.6829696370719716,2.492280122181479,2.873659151962464,14.628470104442375,12.088808680535996,17.701672948229362,2.13756583457677e-167
insurance_Private,0.1679935641938185,-0.02528327295042651,0.36127040133806354,1.182928997521558,0.9750336722394494,1.4351514752956267,0.08846075944825643
insurance_Unknown,1.1997679438824511,0.8088586186629811,1.590677269101921,3.3193465586809516,2.245343730128809,4.907071210872022,1.7936936870272317e-09
anchor_year_group_2011 - 2013,-0.21351167460015905,-0.33439702765105056,-0.09262632154926752,0.807742730022112,0.7157695455046778,0.9115340572970921,0.0005366701179082033
anchor_year_group_2014 - 2016,-0.06178338257651372,-0.1909621945544342,0.06739542940140675,0.94008650385311,0.8261638210521685,1.0697183926563612,0.34854891482256656
anchor_year_group_2017 - 2019,0.1810409392940034,0.04127956190378046,0.3208023166842263,1.1984642425688639,1.0421434084202594,1.378233100273034,0.011121625012983251
anchor_year_group_2020 - 2022,0.4164971947415572,0.26884773805631057,0.5641466514268039,1.5166397467499009,1.3084558978400356,1.7579470009029012,3.22488602833331e-08
