term,coefficient,std_error,coefficient_ci_lower,coefficient_ci_upper,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,ci_lower,ci_upper,p_value
const,-22.00983557,92.877015654,-204.0454412,160.02577011,2.762167E-10,2.422093E-89,3.1499881E69,2.422093E-89,3.1499881E69,0.8126736392
exposure,-1.146180594,0.0855641538,-1.313883254,-0.978477934,0.3178484462,0.2687743084,0.375882782,0.2687743084,0.375882782,6.418158E-41
age,0.065237548,0.0017249704,0.0618566681,0.0686184279,1.067412556,1.0638098559,1.071027457,1.0638098559,1.071027457,0
gender_M,0.1903595872,0.0427781087,0.1065160348,0.2742031396,1.2096845065,1.1123957634,1.3154820016,1.1123957634,1.3154820016,8.5898302E-6
race_group_Black,-0.534391192,0.113037206,-0.755940045,-0.31284234,0.5860259586,0.4695689911,0.7313652107,0.4695689911,0.7313652107,2.2722384E-6
race_group_Hispanic,-0.720765329,0.1539383245,-1.022478901,-0.419051757,0.4863798729,0.3597021681,0.6576701554,0.3597021681,0.6576701554,2.838546E-6
race_group_Other,-0.287990149,0.121938925,-0.52698605,-0.048994247,0.7497689784,0.5903816718,0.9521866073,0.5903816718,0.9521866073,0.0181885443
race_group_White,-0.499573543,0.0985490296,-0.692726092,-0.306420995,0.6067893739,0.5002105886,0.7360766698,0.5002105886,0.7360766698,3.9930385E-7
admission_type_DIRECT EMER.,13.135078385,92.876910746,-168.9003217,195.17047844,506398.09349,4.441425E-74,5.7738011E84,4.441425E-74,5.7738011E84,0.8875345349
admission_type_DIRECT OBSERVATION,10.356100693,92.877320922,-171.6801033,192.39230468,31448.315292,2.755995E-75,3.5885275E83,2.755995E-75,3.5885275E83,0.9112174801
admission_type_ELECTIVE,10.945633165,92.877471987,-171.0908669,192.98213323,56705.878675,4.967989E-75,6.4725523E83,4.967989E-75,6.4725523E83,0.9061863143
admission_type_EU OBSERVATION,10.444384158,92.876964275,-171.5911208,192.47988913,34350.922682,3.012472E-75,3.9170014E83,3.012472E-75,3.9170014E83,0.9104634579
admission_type_EW EMER.,13.076988056,92.876875382,-168.9583427,195.1123188,477819.37152,4.191062E-74,5.4475774E84,4.191062E-74,5.4475774E84,0.8880285895
admission_type_OBSERVATION ADMIT,12.60281195,92.876885594,-169.4325388,194.63816271,297393.64669,2.608455E-74,3.3906271E84,2.608455E-74,3.3906271E84,0.8920633968
admission_type_SURGICAL SAME DAY ADMISSION,10.507331818,92.877154897,-171.5285468,192.5432104,36582.739799,3.206998E-75,4.1730521E83,3.206998E-75,4.1730521E83,0.9099263022
admission_type_URGENT,13.803682804,92.876883927,-168.2316647,195.8390303,988241.91851,8.667949E-74,1.1267049E85,8.667949E-74,1.1267049E85,0.881850769
insurance_Medicare,-0.094443455,0.0891105286,-0.269096882,0.0802099713,0.9098791819,0.7640692274,1.0835145507,0.7640692274,1.0835145507,0.2892145731
insurance_No charge,0.4222146904,1.0141503848,-1.565483539,2.4099129195,1.5253359645,0.2089869355,11.132991636,0.2089869355,11.132991636,0.6771732607
insurance_Other,2.6829696372,0.0972923543,2.4922801267,2.8736591477,14.628470107,12.088808735,17.701672873,12.088808735,17.701672873,2.13753E-167
insurance_Private,0.1679935644,0.0986124408,-0.025283268,0.3612703968,1.1829289977,0.975033677,1.4351514687,0.975033677,1.4351514687,0.0884607513
insurance_Unknown,1.199767944,0.1994471964,0.8088586222,1.5906772658,3.319346559,2.245343738,4.9070711946,2.245343738,4.9070711946,1.7936931E-9
anchor_year_group_2011_2013,-0.213511675,0.0616773313,-0.334397023,-0.092626326,0.8077427301,0.7157695491,0.9115340528,0.7157695491,0.9115340528,0.0005366698
anchor_year_group_2014_2016,-0.061783383,0.0659087662,-0.190962191,0.0673954254,0.9400865039,0.8261638243,1.0697183884,0.8261638243,1.0697183884,0.3485489001
anchor_year_group_2017_2019,0.1810409392,0.0713081345,0.0412795637,0.3208023147,1.1984642425,1.0421434103,1.3782330976,1.0421434103,1.3782330976,0.011121624
anchor_year_group_2020_2022,0.4164971946,0.0753327392,0.268847739,0.5641466503,1.5166397466,1.3084558991,1.7579469989,1.3084558991,1.7579469989,3.2248853E-8
